Id,SalePrice
2658,134303.34802332136
2718,160027.76318108567
2414,234257.783090637
1989,108912.87754578513
625,182642.31092792057
333,87689.14457974647
1327,102773.16756388526
858,143489.75896933573
95,172180.70742228063
1568,166905.59304308312
2482,151786.8372561792
1364,116501.08329992072
2584,147590.60818588728
818,279978.96457915596
2673,156831.75238141816
2089,125264.11535963617
1297,136080.80615042435
790,115205.69695310007
2616,198771.67228184978
720,202381.04043660176
222,149480.16235634524
557,127465.95972140558
1148,192826.00068328
2766,175943.1129487073
534,181431.11741594638
1452,111332.47868604393
630,121970.38675393422
2648,123857.24314806244
125,171346.52786412675
1904,65521.99555773764
1670,101549.58410739923
756,96568.83110979556
717,189803.58014591268
1032,162958.48725471355
852,216096.01220470155
1731,196864.16509716582
2639,119432.87170162855
2071,73028.99726469298
1267,110679.48067188903
1851,184548.1260185278
567,163567.37401093612
2439,212357.0632439115
1898,153077.69639688
647,179721.1291170469
2256,231551.70169345956
979,99128.04318184925
1444,224108.08671884573
2485,123441.74357567256
157,123599.09462461577
88,116391.8792442906
2003,107257.90050250757
186,203270.2472071577
1425,240968.70386512883
2695,122140.98956948936
738,99648.66260291579
395,154131.38976474493
1353,166547.73235717963
1878,129555.53775068925
390,156737.06671928862
1456,236681.65090666513
1103,324122.7331452019
1387,133376.58792874744
2070,146538.09908101743
1199,171022.88594491102
2479,173584.05492114022
501,302574.5094860766
2362,90205.54541078465
1718,194752.9581589387
2188,82681.70813615355
1483,169742.09925566084
2557,82170.88864203336
437,344576.0599390061
2224,188849.37909587982
1628,177753.51792279177
397,135936.8488287049
587,185987.06893021896
2182,683306.4963824202
971,130772.31786886949
2611,142578.52661006083
1887,92363.7920472942
2399,371374.8284635253
2148,203675.15280071946
304,126821.26265656625
1997,127231.51278280657
2817,109338.3635642997
1431,221203.16682910675
427,336447.41307903314
263,120264.67444618206
598,164019.66468645484
2895,244941.12783899278
687,145291.07929016545
1822,133920.3792004493
2191,98759.17339744982
179,116181.50327671546
1009,209973.02927203145
2010,118626.46573224955
1991,138345.6859010284
1411,193312.84964955735
1721,212355.61704994124
1144,191906.44152072372
593,221512.23774758232
575,335238.27985260484
1249,174828.35630221112
1604,119732.66405658239
1064,438296.3355890496
1923,161961.16924806236
1988,101041.22475708087
2325,172240.89297929444
114,185188.51760323904
2700,189529.65397188574
217,119223.066472454
343,182314.31478321436
386,221401.18484414605
2005,102716.36273920757
2908,129938.47604640416
1814,260311.57563203434
2446,526382.0853958884
208,144019.8304597501
1679,108067.4997840197
822,343748.30050863174
6,196961.9183844921
1781,414182.5993088728
2397,308854.24248235836
2340,304270.001961677
1618,156501.8744290616
2843,138680.02180211525
1061,356754.3922670336
2786,120308.10584835264
1935,132894.2779212045
1341,114062.9210878963
521,257935.8759203548
2136,128513.3077529915
996,200321.00160398506
227,144387.11112291593
135,184434.76055549303
1167,152623.14522282057
294,229213.8282270444
1776,214568.55675987183
540,173874.94182279787
1717,214907.70992145137
2303,123237.56323410786
116,184885.94413178213
127,127756.33193780865
1371,128068.90973400563
1014,163071.50600246785
1507,92390.52045099626
702,145323.58830899055
750,141684.23601291736
261,148268.6810381494
1559,68114.18929135452
577,227365.8167531667
2812,197154.40213051296
2080,164871.65068926162
1368,111234.0901327775
2376,118885.52724644032
659,108445.65658778127
1235,131458.90996334824
332,76606.25900853009
1917,135585.59393413208
2094,242471.91551614628
1460,266047.78428024484
1471,227766.62731280088
1509,121483.69978587472
1922,127865.89427960422
433,494339.7933227578
460,249875.78531497833
1116,237856.51804286678
1137,174906.22366557008
53,158324.2283838266
2354,278333.68055362406
1475,191182.826824839
1761,548125.115091598
842,139364.3069728788
2739,179055.64797979954
2509,144731.81122838755
1007,207506.19831168564
2610,187015.15871254943
1952,80552.26799017907
2719,163837.0443143772
2921,85097.81859243482
1966,151734.36793134332
292,116905.20365774131
1204,194832.37441452924
1829,271538.8942373217
2419,205935.330300718
391,149848.61631293775
798,112057.25209034841
481,204440.22683049363
193,191219.37103871425
555,115887.3284101317
899,56462.65295661494
2357,182527.04147922827
328,139448.1179653667
